Data,Curs,Nom,Castells,CCCC,observacions
28/05/2026,2025-2026,Diada primavera Penjats,pd4 3d6 2d6 6ors5 pd4,,
21/05/2026,2025-2026,Diada primavera Llunàtics,4d7 4d6a 2d6 2pd4,,
14/05/2026,2025-2026,Diada primavera Xoriguers,4pd4 5d7 3d8f 3d7a pd6f 4pd4,,COLLA DE VUUUUUIT
07/05/2026,2025-2026,Diada primavera Pataquers,5d7 2d7fc 3d7 3pd4,,
23/04/2026,2025-2026,Can Paco,2p4 3d7,,
16/04/2026,2025-2026,Colles de l'eix,2pd4 3d7 7d6 pd5 4d6 germanor 3d7f,,
12/03/2026,2025-2026,Aniverfest,4pd4 5d7 2d7f 7d7 pd6fc 4pd4,,
08/03/2026,2025-2026,Diada 8M,3d6 fem 2pd4 fem,,
05/03/2026,2025-2026,Macro Passarells,4d7 3d6 fem 7d6 pd5 2pd4,,
16/02/2026,2025-2026,Comercial Girona FC,"3d7, 2p4, 4d6",,
18/12/2025,2025-2026,Diada hivern Arreplegats,5d7 2d7f i3d7a 4d7,,millor diada fora de casa
11/12/2025,2025-2026,Diada hivern Ganàpies,2pd4 3d7 4d7 2d6 2pd4,,
04/12/2025,2025-2026,Diada hivern Xoriguers,4pd4 5d7 2d7f 4d7a pd5c 4pd4,,MILLOR DIADA HISTÒRIA
27/11/2025,2025-2026,Diada hivern Emboirats,2pd4 fem 3d7 id4d7 4d7 7d6 pd5 2pd4 pd4equitat,,
20/11/2025,2025-2026,30 anys Arreplegats,5d7 3d7 4d7,,Primer 5d7 de la historia
30/10/2025,2025-2026,Diada de Barraques,3pd4 2d6 3d7 7d6 3pd4,,
25/09/2025,2025-2026,Actuació RESA,2pd4 5d6 4d6a 4d6 2pd4,,
29/05/2025,2024-2025,Diada primavera Trempats,pd4 3d6 4d6 3d6a pd4,,
22/05/2025,2024-2025,Diada primavera Penjats,pd4 4d6 2d6 3d6 pd4,,Dos amb dues figueretes
15/05/2025,2024-2025,Diada primavera Marracos,2pd4 3d7 4d7 5d6 pd5c 2pd4,,
08/05/2025,2024-2025,Diada primavera Xoriguers,3pd4 3d7 2d7fc 4d7 2pd4,,Primer dos en 8 anys
